published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-27,10.00,10.00,9.00,9.00,-10.00,10250.00,94263.00,-1
2022-07-28,8.85,9.02,8.70,9.01,0.11,16091.00,143236.88,1
2022-07-29,8.89,8.96,8.89,8.96,-0.55,3300.00,29418.00,-1
2022-07-31,8.94,9.10,8.93,9.00,0.45,10900.00,98363.00,1
2022-08-01,9.00,9.00,8.70,8.92,-0.89,6020.00,53464.60,-1
2022-08-02,8.75,9.00,8.75,8.91,-0.11,23970.00,213581.60,-1
2022-08-03,8.74,9.09,8.74,8.92,0.11,9350.00,83888.00,1
2022-08-04,8.75,9.09,8.75,9.09,1.91,10890.00,97244.80,1
2022-08-05,8.95,8.95,8.86,8.86,-2.53,2300.00,20508.00,-1
2022-08-07,8.70,8.92,8.70,8.92,0.68,6350.00,55492.00,1
2022-08-08,9.09,9.09,8.72,8.80,-1.35,5870.00,51416.10,-1
2022-08-09,8.63,8.83,8.63,8.80,0.00,6550.00,57125.50,0
2022-08-10,8.63,8.81,8.63,8.71,-1.02,4950.00,42956.00,-1
2022-08-11,8.54,9.02,8.54,8.85,1.61,2100.00,18516.00,1
2022-08-12,8.54,9.02,8.54,8.85,1.61,2100.00,18516.00,1
2022-08-14,8.68,8.86,8.68,8.70,-1.69,3300.00,28786.00,-1
2022-08-15,8.68,8.89,8.60,8.80,1.15,11010.00,95809.10,1
2022-08-16,8.63,8.82,8.63,8.71,-1.02,3300.00,28729.00,-1
2022-08-17,8.54,8.71,8.54,8.66,-0.57,3490.00,30049.00,-1
2022-08-18,8.66,8.83,8.56,8.60,-0.69,3950.00,34271.00,-1
2022-08-19,8.66,8.83,8.56,8.60,-0.69,3950.00,34271.00,-1
2022-08-21,8.43,8.70,8.43,8.50,-1.16,4950.00,42170.00,-1
2022-08-22,8.33,8.67,8.33,8.41,-1.06,4950.00,41761.50,-1
2022-08-23,8.25,8.73,8.25,8.60,2.26,3600.00,30648.00,1
2022-08-24,8.43,9.11,8.43,8.94,3.95,5400.00,46845.00,1
2022-08-25,8.94,9.00,8.48,8.65,-3.24,7000.00,60147.00,-1
2022-08-26,8.48,8.50,8.48,8.49,-1.85,1300.00,11038.00,-1
2022-08-28,8.33,8.64,8.33,8.51,0.24,9950.00,84365.00,1
2022-08-29,8.39,8.61,8.18,8.55,0.47,15350.00,130055.50,1
2022-08-30,8.39,8.52,8.24,8.51,-0.47,2700.00,22619.00,-1
2022-08-31,8.50,8.50,8.40,8.43,-0.94,2800.00,23624.00,-1
2022-09-01,8.59,8.59,8.40,8.41,-0.24,4900.00,41400.00,-1
2022-09-02,8.27,8.55,8.27,8.38,-0.36,1400.00,11885.00,-1
2022-09-04,8.25,8.43,8.25,8.30,-0.95,3700.00,30702.00,-1
2022-09-05,8.30,8.48,8.30,8.33,0.36,2750.00,23026.00,1
2022-09-06,8.17,8.36,8.17,8.36,0.36,4000.00,32862.00,1
2022-09-07,8.30,8.37,8.21,8.26,-1.20,3050.00,25165.50,-1
2022-09-08,8.15,8.40,8.15,8.30,0.48,11210.00,93054.00,1
2022-09-09,8.15,8.40,8.15,8.30,0.48,11210.00,93054.00,1
2022-09-11,8.15,8.39,8.15,8.36,0.72,1900.00,15656.00,1
2022-09-12,8.20,8.40,8.18,8.32,-0.48,2700.00,22509.00,-1
2022-09-13,8.32,8.48,8.20,8.25,-0.84,4650.00,38524.00,-1
2022-09-14,8.18,8.44,8.18,8.30,0.61,3750.00,31019.50,1
2022-09-15,8.25,8.30,8.25,8.26,-0.48,3650.00,30238.41,-1
2022-09-16,8.15,8.33,8.15,8.21,-0.61,10800.00,88958.00,-1
2022-09-18,8.17,8.24,8.17,8.24,0.37,2500.00,20516.00,1
2022-09-19,8.17,8.24,8.17,8.24,0.37,2500.00,20516.00,1
2022-09-20,8.17,8.40,8.14,8.24,0.00,9795.00,80557.20,0
2022-09-21,8.09,8.20,8.09,8.18,-0.73,3600.00,29311.00,-1
2022-09-22,8.02,8.29,8.02,8.29,1.34,6000.00,48701.00,1
2022-09-25,8.13,8.13,7.46,7.71,-7.00,1500.00,11520.00,-1
2022-09-26,8.13,8.13,7.46,7.71,-7.00,1500.00,11520.00,-1
2022-09-27,7.80,7.95,7.80,7.85,1.82,1100.00,8641.00,1
