published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-10-17,68.0,67.0,67.0,67.0,nan,210.0,14070.0,0
2011-10-19,67.0,66.0,62.0,62.0,-7.46,690.0,44030.0,0
2011-10-20,62.0,63.0,63.0,63.0,1.61,20.0,1260.0,0
2011-10-23,63.0,63.0,61.0,61.0,-3.17,260.0,16150.0,0
2011-10-24,61.0,64.0,62.0,63.0,3.28,290.0,18360.0,0
2011-10-30,63.0,63.0,63.0,63.0,0.0,70.0,4410.0,0
2011-11-03,63.0,64.0,64.0,64.0,1.59,20.0,1280.0,0
2011-11-08,64.0,63.0,63.0,63.0,-1.56,40.0,2520.0,0
2011-11-13,63.0,69.0,64.0,68.0,7.94,470.0,31460.0,0
2011-11-17,68.0,67.0,67.0,67.0,-1.47,20.0,1340.0,0
2011-11-20,67.0,68.0,68.0,68.0,1.49,70.0,4760.0,0
2011-11-21,68.0,70.0,69.0,70.0,2.94,40.0,2780.0,0
2011-11-22,70.0,71.0,70.0,70.0,0.0,990.0,70140.0,0
2011-11-23,70.0,71.0,71.0,71.0,1.43,10.0,710.0,0
2011-11-24,71.0,72.0,72.0,72.0,1.41,90.0,6480.0,0
2011-11-27,72.0,72.0,72.0,72.0,0.0,1150.0,82800.0,0
2011-12-01,74.0,75.0,75.0,75.0,4.17,20.0,1500.0,0
2011-12-04,75.0,74.0,73.0,73.0,-2.67,230.0,17000.0,0
2011-12-05,73.0,72.0,72.0,72.0,-1.37,40.0,2880.0,0
2011-12-07,72.0,73.0,73.0,73.0,1.39,90.0,6570.0,0
2011-12-12,73.0,73.0,72.0,73.0,0.0,230.0,16600.0,0
2011-12-13,73.0,75.0,74.0,75.0,2.74,60.0,4460.0,0
2011-12-14,75.0,76.0,76.0,76.0,1.33,50.0,3800.0,0
2011-12-15,76.0,77.0,77.0,77.0,1.32,20.0,1540.0,0
2011-12-21,77.0,76.0,76.0,76.0,-1.30,70.0,5320.0,0
2011-12-22,76.0,77.0,77.0,77.0,1.32,10.0,770.0,0
2011-12-26,77.0,77.0,77.0,77.0,0.0,70.0,5390.0,0
2011-12-27,77.0,78.0,78.0,78.0,1.30,90.0,7020.0,0
2011-12-28,78.0,80.0,79.0,80.0,2.56,130.0,10310.0,0
2011-12-29,80.0,80.0,79.0,80.0,0.0,250.0,19790.0,0
2012-01-01,80.0,81.0,79.0,79.0,-1.25,530.0,42170.0,0
2012-01-02,79.0,79.0,77.0,77.0,-2.53,1220.0,94430.0,0
2012-01-03,77.0,78.0,75.0,78.0,1.30,100.0,7650.0,0
2012-01-04,78.0,81.0,79.0,81.0,3.85,80.0,6400.0,0
2012-01-16,81.0,84.0,82.0,84.0,3.70,390.0,32290.0,0
2012-01-17,84.0,85.0,83.0,85.0,1.19,530.0,44870.0,0
2012-01-25,85.0,84.0,83.0,83.0,-2.35,80.0,6680.0,0
2012-01-26,83.0,85.0,84.0,85.0,2.41,170.0,14410.0,0
2012-02-01,85.0,85.0,85.0,85.0,0.0,130.0,11050.0,0
2012-02-07,85.0,84.0,84.0,84.0,-1.18,460.0,38640.0,0
2012-02-09,84.0,83.0,83.0,83.0,-1.19,10.0,830.0,0
2012-02-23,83.0,84.0,83.0,83.0,0.0,490.0,40820.0,0
2012-02-26,83.0,82.0,80.0,80.0,-3.61,2440.0,196420.0,0
2012-02-27,80.0,80.0,79.0,79.0,-1.25,1390.0,111190.0,0
2012-02-28,79.0,78.0,78.0,78.0,-1.27,10.0,780.0,0
2012-02-29,78.0,78.0,77.0,78.0,0.0,400.0,31130.0,0
2012-03-15,78.0,77.0,77.0,77.0,-1.28,80.0,6160.0,0
2012-03-25,77.0,77.0,77.0,77.0,0.0,180.0,13860.0,0
2012-03-27,77.0,76.0,76.0,76.0,-1.30,150.0,11400.0,0
2012-03-28,76.0,75.0,75.0,75.0,-1.32,640.0,48000.0,0
2012-04-04,75.0,75.0,74.0,74.0,-1.33,390.0,28880.0,0
2012-04-19,74.0,74.0,74.0,74.0,0.0,10.0,740.0,0
2012-04-22,74.0,73.0,73.0,73.0,-1.35,90.0,6570.0,0
2012-05-07,73.0,74.0,74.0,74.0,1.37,40.0,2960.0,0
2012-05-08,74.0,75.0,75.0,75.0,1.35,80.0,6000.0,0
2012-05-10,75.0,74.0,74.0,74.0,-1.33,140.0,10360.0,0
2012-05-20,74.0,73.0,73.0,73.0,-1.35,210.0,15330.0,0
2012-05-21,73.0,77.0,74.0,77.0,5.48,100.0,7590.0,0
2012-05-22,77.0,81.0,78.0,81.0,5.19,150.0,11820.0,0
2012-05-23,81.0,86.0,82.0,86.0,6.17,2060.0,173520.0,0
2012-05-24,86.0,85.0,85.0,85.0,-1.16,40.0,3400.0,0
2012-05-29,85.0,87.0,84.0,86.0,1.18,1270.0,109080.0,0
2012-05-30,86.0,93.0,87.0,93.0,8.14,1920.0,172070.0,0
2012-06-03,93.0,92.0,92.0,92.0,-1.08,890.0,81880.0,0
2012-06-04,92.0,92.0,90.0,92.0,0.0,1380.0,125090.0,0
2012-06-05,92.0,93.0,92.0,92.0,0.0,730.0,67570.0,0
2012-06-06,92.0,94.0,92.0,93.0,1.09,1060.0,99130.0,0
2012-06-07,93.0,94.0,93.0,93.0,0.0,1610.0,150430.0,0
2012-06-10,93.0,94.0,92.0,93.0,0.0,3160.0,295830.0,0
2012-06-11,93.0,93.0,92.0,93.0,0.0,100.0,9280.0,0
2012-06-12,93.0,94.0,93.0,93.0,0.0,1140.0,107090.0,0
2012-06-13,93.0,93.0,92.0,93.0,0.0,340.0,31480.0,0
2012-06-14,93.0,93.0,93.0,93.0,0.0,760.0,70680.0,0
2012-06-17,93.0,94.0,93.0,93.0,0.0,1080.0,101450.0,0
2012-06-18,93.0,92.0,92.0,92.0,-1.08,490.0,45080.0,0
2012-06-19,92.0,92.0,92.0,92.0,0.0,80.0,7360.0,0
2012-06-21,92.0,91.0,91.0,91.0,-1.09,80.0,7280.0,0
2012-06-26,91.0,90.0,89.0,89.0,-2.20,760.0,68230.0,0
2012-06-27,89.0,90.0,90.0,90.0,1.12,150.0,13500.0,0
2012-06-28,90.0,89.0,89.0,89.0,-1.11,70.0,6230.0,0
