published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-04-10,302.50,332.70,302.50,332.70,9.98,210.00,68364.00,1
2025-04-13,335.20,365.90,335.20,365.90,9.98,180.00,64701.00,1
2025-04-14,335.20,365.90,335.20,365.90,9.98,180.00,64701.00,1
2025-04-15,372.80,402.40,372.80,402.40,9.98,250.00,99571.00,1
2025-04-16,410.00,442.60,410.00,442.60,9.99,240.00,104439.00,1
2025-04-17,451.00,486.80,451.00,486.80,9.99,180.00,86023.00,1
2025-04-20,496.50,535.40,496.50,535.40,9.98,440.00,234622.00,1
2025-04-21,537.70,588.90,537.70,588.90,9.99,310.00,180066.00,1
2025-04-22,579.70,647.70,579.70,647.70,9.98,440.00,282686.00,1
2025-04-23,660.60,712.40,660.60,712.40,9.99,580.00,410367.00,1
2025-04-24,704.30,783.60,704.30,783.60,9.99,440.00,342186.00,1
2025-04-27,783.60,861.90,783.60,861.90,9.99,580.00,496797.00,1
2025-04-28,873.70,948.00,873.70,948.00,9.99,480.00,453102.00,1
2025-04-29,963.70,1042.80,963.70,1042.80,10.00,740.00,769676.00,1
2025-04-30,1061.30,1147.00,1061.30,1147.00,9.99,810.00,926930.00,1
2025-05-01,1061.30,1147.00,1061.30,1147.00,9.99,810.00,926930.00,1
2025-05-04,1169.90,1261.70,1169.90,1261.70,10.00,1110.00,1398233.00,1
2025-05-05,1239.30,1387.80,1239.30,1387.80,9.99,870.00,1202282.00,1
2025-05-06,1415.50,1526.50,1415.50,1526.50,9.99,950.00,1447454.00,1
2025-05-07,1526.00,1679.10,1526.00,1679.10,10.00,1330.00,2228658.00,1
2025-05-08,1678.90,1847.00,1678.90,1847.00,10.00,1790.00,3297783.00,1
2025-05-11,1820.40,2031.70,1820.40,2031.70,10.00,3320.00,6738170.00,1
2025-05-12,1820.40,2031.70,1820.40,2031.70,10.00,3320.00,6738170.00,1
2025-05-13,2072.30,2234.80,2072.30,2234.80,10.00,19150.00,42792079.00,1
2025-05-14,2279.40,2458.20,2015.20,2066.15,-7.55,246209.00,513268681.60,-1
2025-05-15,2025.00,2228.00,1953.20,2151.20,4.12,88593.00,185884964.40,1
2025-05-18,2108.20,2108.20,1999.00,2003.72,-6.86,78228.00,159444229.40,-1
2025-05-19,2001.00,2050.00,1903.10,1915.75,-4.39,69459.00,136794436.00,-1
2025-05-20,1878.00,1928.70,1830.10,1913.50,-0.12,56183.00,105624846.20,-1
2025-05-21,1950.00,2000.00,1830.00,1839.02,-3.89,41132.00,76916545.80,-1
2025-05-22,1820.00,1935.90,1792.00,1881.76,2.32,75386.00,139675765.20,1
2025-05-25,1875.00,1902.00,1828.00,1870.84,-0.58,28325.00,52699637.70,-1
2025-05-26,1908.00,1908.00,1829.10,1833.34,-2.00,52290.00,96829701.70,-1
2025-05-27,1800.00,1830.00,1798.00,1802.05,-1.71,36957.00,66932613.30,-1
2025-05-28,1785.10,1802.00,1700.00,1710.15,-5.10,47473.00,82614205.70,-1
2025-05-29,1785.10,1802.00,1700.00,1710.15,-5.10,47473.00,82614205.70,-1
2025-06-01,1785.10,1802.00,1700.00,1710.15,-5.10,47473.00,82614205.70,-1
2025-06-02,1705.00,1749.00,1657.00,1690.88,-1.13,71911.00,120892775.80,-1
2025-06-03,1690.00,1764.60,1680.00,1725.62,2.05,37905.00,65736043.80,1
2025-06-04,1750.00,1764.00,1716.00,1750.30,1.43,29753.00,51915710.40,1
2025-06-05,1750.30,1760.00,1676.00,1694.13,-3.21,40175.00,68886177.00,-1
2025-06-08,1685.00,1693.00,1563.10,1579.00,-6.80,55475.00,89406912.10,-1
2025-06-09,1579.10,1641.10,1521.00,1614.25,2.23,36658.00,58504358.60,1
2025-06-10,1640.00,1662.00,1600.00,1625.46,0.69,22910.00,37537843.30,1
2025-06-11,1657.00,1657.00,1585.10,1587.70,-2.32,16983.00,27239600.90,-1
2025-06-12,1560.00,1587.00,1531.00,1535.22,-3.31,29931.00,46287655.30,-1
2025-06-15,1535.00,1570.00,1511.00,1521.77,-0.88,17077.00,26319230.50,-1
2025-06-16,1500.00,1541.00,1488.00,1493.14,-1.88,24121.00,36296257.00,-1
2025-06-17,1500.00,1500.00,1435.00,1445.27,-3.21,24372.00,35441171.40,-1
