published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,9.55,9.80,9.55,9.63,-1.13,5900.00,57239.00,-1
2021-11-05,9.55,9.80,9.55,9.63,-1.13,5900.00,57239.00,-1
2021-11-08,9.60,9.75,9.60,9.64,0.10,7490.00,72193.50,1
2021-11-09,9.55,9.87,9.50,9.50,-1.45,22700.00,217111.95,-1
2021-11-10,9.55,9.87,9.50,9.50,-1.45,22700.00,217111.95,-1
2021-11-11,9.48,9.55,9.37,9.50,0.00,2700.00,25461.00,0
2021-11-12,9.48,9.55,9.37,9.50,0.00,2700.00,25461.00,0
2021-11-15,9.36,9.51,9.21,9.51,1.60,6300.00,59476.00,1
2021-11-16,9.35,9.75,9.35,9.75,2.52,6743.00,63517.75,1
2021-11-17,9.75,9.93,9.71,9.80,0.51,16267.00,160833.90,1
2021-11-18,9.80,9.80,9.44,9.49,-3.16,6570.00,63035.30,-1
2021-11-19,9.80,9.80,9.44,9.49,-3.16,6570.00,63035.30,-1
2021-11-22,9.31,9.49,9.31,9.42,-0.84,3470.00,32593.80,-1
2021-11-23,9.60,9.70,9.50,9.60,1.91,34705.00,334146.50,1
2021-11-24,9.70,9.72,9.51,9.52,-0.83,7210.00,68791.10,-1
2021-11-25,9.52,9.55,9.52,9.52,0.00,8500.00,80980.00,0
2021-11-26,9.52,9.55,9.52,9.52,0.00,8500.00,80980.00,0
2021-11-29,9.22,9.43,9.22,9.31,0.65,3370.00,31383.10,1
2021-11-30,9.40,9.49,9.30,9.30,-0.11,11631.00,108736.20,-1
2021-12-01,9.30,9.30,9.22,9.27,-0.32,5050.00,46787.00,-1
2021-12-02,9.21,9.26,9.13,9.15,-1.29,20159.00,185268.39,-1
2021-12-03,9.21,9.26,9.13,9.15,-1.29,20159.00,185268.39,-1
2021-12-06,8.90,9.00,8.75,9.00,-0.55,9407.00,82926.85,-1
2021-12-07,8.82,9.00,8.82,9.00,0.00,42672.00,381557.48,0
2021-12-08,9.01,9.02,8.87,8.89,-1.22,5445.00,48712.50,-1
2021-12-09,8.89,9.05,8.85,9.00,1.24,62417.00,557300.50,1
2021-12-10,8.89,9.05,8.85,9.00,1.24,62417.00,557300.50,1
2021-12-13,8.68,8.80,8.55,8.55,-1.72,34898.00,301775.77,-1
2021-12-14,8.72,8.72,8.61,8.61,0.70,12000.00,103980.00,1
2021-12-15,8.63,8.94,8.63,8.75,1.63,46037.00,405738.78,1
2021-12-16,8.60,8.81,8.60,8.70,-0.57,29400.00,258064.00,-1
2021-12-17,8.60,8.81,8.60,8.70,-0.57,29400.00,258064.00,-1
2021-12-20,8.55,8.72,8.55,8.62,-0.92,18700.00,162008.00,-1
2021-12-21,8.79,8.79,8.50,8.66,0.46,52145.00,447649.20,1
2021-12-22,8.70,8.70,8.45,8.61,-0.58,104259.00,890503.95,-1
2021-12-23,8.51,8.70,8.40,8.45,-1.86,157419.00,1331323.56,-1
2021-12-24,8.51,8.70,8.40,8.45,-1.86,157419.00,1331323.56,-1
2021-12-27,8.18,8.90,8.18,8.48,1.92,125050.00,1082227.42,1
2021-12-28,8.47,8.48,8.33,8.43,-0.59,19500.00,164016.00,-1
2021-12-29,8.31,8.45,8.22,8.45,0.24,183437.00,1520605.51,1
2021-12-30,8.31,8.45,8.22,8.45,0.24,183437.00,1520605.51,1
2021-12-31,8.31,8.45,8.22,8.45,0.24,183437.00,1520605.51,1
2022-01-03,8.67,8.83,8.56,8.60,1.18,23281.00,200292.29,1
2022-01-04,8.70,8.77,8.51,8.76,1.86,51099.00,443136.26,1
2022-01-05,8.61,8.93,8.61,8.67,-1.03,25439.00,224686.27,-1
2022-01-06,8.50,8.84,8.50,8.83,1.85,20829.00,181255.96,1
2022-01-07,8.50,8.84,8.50,8.83,1.85,20829.00,181255.96,1
