published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-19,271.10,298.20,271.10,298.20,10.00,292.00,83244.00,1
2022-04-20,304.10,328.00,304.10,328.00,9.99,329.00,106284.50,1
2022-04-21,334.50,360.80,334.50,360.80,10.00,2937.00,1058227.10,1
2022-04-22,334.50,360.80,334.50,360.80,10.00,2937.00,1058227.10,1
2022-04-25,404.70,436.40,373.00,399.00,0.55,117936.00,47099315.90,1
2022-04-26,400.00,406.00,375.00,390.00,-2.26,31191.00,12240866.90,-1
2022-04-27,390.00,390.00,376.00,385.00,-1.28,19815.00,7563877.00,-1
2022-04-28,390.00,392.00,376.60,377.40,-1.97,17660.00,6718459.50,-1
2022-04-29,390.00,392.00,376.60,377.40,-1.97,17660.00,6718459.50,-1
2022-05-02,370.00,371.00,339.70,358.00,-5.14,33774.00,11962451.30,-1
2022-05-03,370.00,371.00,339.70,358.00,-5.14,33774.00,11962451.30,-1
2022-05-04,359.00,359.00,322.20,324.50,-9.36,39443.00,13000972.00,-1
2022-05-05,318.20,323.00,303.00,304.00,-6.32,17917.00,5549899.10,-1
2022-05-06,318.20,323.00,303.00,304.00,-6.32,17917.00,5549899.10,-1
2022-05-09,315.00,315.00,297.00,305.00,-1.61,9948.00,3057362.80,-1
2022-05-10,311.10,315.00,298.90,307.00,0.66,16367.00,5017307.00,1
2022-05-11,307.00,334.50,303.20,325.50,6.03,21910.00,6908891.00,1
2022-05-12,328.80,336.00,313.60,320.70,-1.47,18554.00,6034107.50,-1
2022-05-13,328.80,336.00,313.60,320.70,-1.47,18554.00,6034107.50,-1
2022-05-16,328.80,336.00,313.60,320.70,-1.47,18554.00,6034107.50,-1
2022-05-17,318.00,318.00,291.50,291.50,-9.11,15356.00,4628160.50,-1
2022-05-18,292.00,307.00,284.30,305.00,4.63,16194.00,4804442.80,1
2022-05-19,300.00,306.00,290.00,300.00,-1.64,13565.00,4061736.50,-1
2022-05-20,295.00,306.00,290.20,295.00,-1.67,7312.00,2198517.00,-1
2022-05-23,289.10,295.00,285.50,286.40,-2.92,7110.00,2056800.00,-1
2022-05-24,285.00,297.00,282.10,290.70,1.50,9756.00,2827623.20,1
2022-05-25,294.70,299.00,285.40,290.50,-0.07,4662.00,1359604.40,-1
2022-05-26,290.50,298.80,286.10,291.00,0.17,9061.00,2637823.00,1
2022-05-27,290.00,295.00,285.40,289.90,-0.38,10340.00,2966138.50,-1
2022-05-30,285.00,295.00,280.00,281.00,-3.07,6744.00,1910264.30,-1
2022-05-31,276.00,280.00,271.00,280.00,-0.36,9538.00,2627646.00,-1
2022-06-01,276.00,282.90,271.40,276.00,-1.43,4880.00,1348068.50,-1
2022-06-02,271.10,279.40,269.10,271.00,-1.81,5733.00,1557999.20,-1
2022-06-03,266.00,277.40,266.00,271.00,0.00,9615.00,2608741.00,0
2022-06-06,270.00,279.90,270.00,270.00,-0.37,6687.00,1832029.00,-1
2022-06-07,265.00,273.00,260.20,261.10,-3.30,8189.00,2171584.40,-1
2022-06-08,256.00,287.00,256.00,275.00,5.32,11467.00,3074503.30,1
2022-06-09,275.00,280.50,265.10,265.10,-3.60,7513.00,2031446.50,-1
2022-06-10,270.30,291.60,270.00,291.60,10.00,27782.00,7899947.10,1
2022-06-13,297.40,320.70,297.40,320.70,9.98,33483.00,10676181.60,1
2022-06-14,327.10,352.00,296.60,300.00,-6.45,59615.00,19050231.40,-1
2022-06-15,294.00,306.00,279.00,290.50,-3.17,21862.00,6338644.20,-1
2022-06-16,296.00,310.00,280.00,302.00,3.96,12338.00,3658695.70,1
2022-06-17,300.00,308.90,292.10,300.50,-0.50,11414.00,3459292.10,-1
2022-06-19,295.10,298.80,288.30,290.00,-3.49,12859.00,3768696.20,-1
2022-06-20,284.20,284.20,274.60,277.80,-4.21,12882.00,3587901.00,-1
